ID	Autore	Anno	Titolo	Completamento del titolo	Città, editore o rivista	Pagine	Tipologia	Istituto	Fondo	Segnatura
B_28_5	Ceriana, M., Quattrini, C. (Ed.)	2004	Per Brera. Collezionisti e doni alla Pinacoteca dal 1882 al 2000		Firenze, Centro Di		monografia			
B_28_6	Cipriani, A., Curzi, V., Picardi, P. (Ed.)	2014	Storia dell'arte come impegno civile. Scritti in onore di Marisa Dalai Emiliani		Roma, Campisano Editore		monografia			
B_28_7	Clain-Stefanelli, E. E.	1985	Numismatic bibliography		Monaco, n.3653		articolo di monografia			
B_29	Cobianchi, R.	2020	Protagonisti e comprimari tra collezionismo e mercato: Rocchi, Palumbo, Castellani, Helbig, Rosa De Angelis, Vedder		in Bacchi, Capitelli	pp. 165-183	articolo di monografia			
B_30	Coen P.	2020	Il dibattito arte-industria, fra aspirazioni museologiche e casi concreti		in Coen	pp. 51-94	articolo di monografia			
B_31	Coen, P.	2020	Il recupero del Rinascimento: arte, politica e mercato nei primi decenni di Roma capitale (1870-1911)		Cinisello Balsamo, Silvana		monografia			
B_32	Coen, P.	2020	Il nuovo mercante italiano e internazionale: Giuseppe Sangiorgi		in Coen	pp. 279-320	articolo di monografia			
B_33	Coen, P.	2020	La rincorsa del primato: le esportazioni di opere d'arte in Italia e nel mondo		in Coen	pp. 177-235	articolo di monografia			
B_33_2	Colli D., Foresti, L.	1999	Casa Foresti. Storia, vicende e avventure artistiche		Carpi, Ed. Il Portico		monografia			
B_34	Colombi, M.	2021	«Une des figures les plus originales de Milan»: l'antiquario Giuseppe Baslini (1817-1887)		in «Acme», vol. 74, 2	pp. 95-121	articolo di periodico			
B_34_2	Colombi, M.	2021-2022	Milano e il mercato dell'arte nella seconda metà dell'Ottocento. Il ruolo degli antiquari		tesi di Dottorato, Università di Milano		monografia			
B_34_3	Connors, J., Waldman, L.A. (Ed.)	2014	Bernard Berenson. Formation and heritage		Cambridge (MA), The Harvard University Center for Italian Renaissance		monografia			
B_35	Conti, G.	2009	I fratelli Bellini, inventori di un nuovo modo di fare antiquariato: un ricordo dei fondatori della Biennale fiorentina e dell'A.A.I.		in «Gazzetta antiquaria», N.S. 55, 1	pp. 22-25	articolo di periodico			
B_36	Contini Bonacossi, V.	2008	Diario americano: 1926-1929		Siena, Gli Ori		monografia			
B_37	De Callataÿ, F.	2016	Il venditore d'antichità by Vincenzo Capobianchi (1880): possibly the most scholarly work of the neo-Pompeian painting		in «Anabases», XXIII	pp. 47-73	articolo di periodico			
B_38	De Clemente, A.	1923	Da pittore ad antiquario		in «L'Antiquario. Rivista indipendente», X, 4-5	p. 45	articolo di periodico			
B_39	Del Giorgio, L.	2021-2022	Vincenzo Ciampolini. Negoziante e Commissario di oggetti d'arte antichi nella Firenze tra diciannovesimo e ventesimo secolo		Università degli Studi di Firenze		monografia			
B_40	Di Castro, A.	2012	L'arte dell'antiquariato		in «Gazzetta antiquaria», 62, 2	pp. 20-23	articolo di periodico			
B_40_1	Di Lorenzo, A.	2002	Édouard e Nélie a Milano: i loro rapporti con gli antiquari, i restauratori e i collezionisti		in Di Lorenzo	pp. 37-45	articolo di monografia			
B_40_2	Di Lorenzo, A.	2002	Due collezionisti alla scoperta dell’Italia. Dipinti e sculture dal museo Jacquemart-André di Parigi, catalogo della mostra (Milano 2002-2003)		Cinisello Balsamo, Silvana Editoriale		monografia			
B_41	Diebner, S., Rossini, O.	2024	Lettere di Ludwig Pollak a Wilhelm Froehneer: 1903-1925		Roma, Gangemini Editore spa		monografia			
B_42	D'Orazi, L.	2018	Canessa: una famiglia di antiquari, Nummus et Historia, XXXV		Cassino, Classica Editrice Diana		monografia			
B_43	D'Orazi, L.	2018	Canessa, una famiglia di antiquari		Cassino, Associazione Culturale Italia Numismatica		monografia			
B_44	Facchineti, S., Piccinini, L., Riccomini, M.	2022	Vita d'Antiquari. Uno dei mestieri più belli del mondo, raccontato dalla voce dei protagonisti		Firenze, Associazione Antiquari d'Italia		monografia			
B_45	Fehér, I.	2012	Károly Pulszky and the Florentine acquisitions for the Szépmúvészeti Múzeum in Budapest between 1893 and 1895		in «Mitteilungen des Kunsthistorischen institutes in Florenz», vol. 54 (20102012), 2	pp. 319-364	articolo di periodico			
B_46	Ferrazza, R.	2011	Elia Volpi e il Museo della Casa Fiorentina Antica di Palazzo Davanzati		in Mannini	pp. 138-147	articolo di monografia			
B_47	Ferrazza, R.	1993	Palazzo Davanzati e le collezioni di Elia Volpi		Firenze Centro Di		monografia			
B_48	Fina, G. (Ed.)	2018	Argentieri piemontesi del '700: trovati e ritrovati		Milano, Skira		monografia			
B_48_1	Foresti, L.	1999	La cultura e il mondo di Carlo Foresti		in Colli, Foresti		articolo di monografia			
B_49	Franchini Guelfi, F.	2001	Benno Geiger storico dell’arte e mercante alla riscoperta di Alessandro Magnasco		in Orlando	pp. 251-256	articolo di monografia			
B_49_1	Fuhrmeister, C., Murovec, B. (Ed.)	2022	Transfer of cultural objects in the Alpe Adria Region in the 20th century		Köln Wien, Böhlau Verlag		monografia			
B_50	Galassi, M.C.	2001	Nascita e sviluppo del collezionismo borghese: i Luxoro		in Orlando	pp. 59-70	articolo di monografia			
B_51	Geiger, B.	1958	Memorie di un veneziano		Firenze, Vallecchi		monografia			
B_52	Giannini, C.	2002	L’attimo fuggente. Storie di collezionisti e mercanti		Bergamo, Lubrina Bramani Editore		monografia			
B_53	Giannini, C.	2011	Attilio Steffanoni, restauratore e antiquario. Un diario inedito	"in Sciolla, G.C., Rovetta, A. (a cura di), ""Francesco Malaguzzi Valeri (1867- 1928). Tra storiografia artistica, museo e tutela"", atti del convegno (Milano-Bologna, 20-21 ottobre 2011)"	Milano, Segrate	pp. 205-216	articolo di monografia			
B_54	Giannini, F.	2017	Franco Steffanoni per Gian Battista Tiepolo. Frammenti di lettere famigliari	"in Manieri Elia, G., Piva, C. (a cura di), ""Tiepolo e la prima guerra mondiale"""	Firenze		articolo di monografia			
B_55	Giometti, C.	2019	Stefano Bardini, Vincenzo Ciampolini e un ciclo di affreschi di Giovanni da San Giovanni in palazzo Pucci		in Ciancabilla, Giometti	pp. 165-176	articolo di monografia			
B_56	Giometti, C., Ciancabilla, L.	2019	Stefano Bardini estrattista: affreschi staccati nell'Italia unita fra antiquariato, collezionismo e musei		Pisa, ETS		monografia			
B_57	Glaros, M.	2012	Sometimes a little injustice must be suffered for the public good: how National Security (Aliens Control) regulations 1939 (CHT) affected lives of German, Italian, Japanese, and Australian-born women living in Australia during World War II		PhD diss., University of Western Sidney	pp. 337-342	monografia			
B_58	González-Palacios, A.	1999	Le tre età		Milano, Longanesi		monografia			
B_59	González-Palacios, A.	2014	Persona e maschera: collezionisti, antiquari e storici dell'arte		Milano, Archinto		monografia			
B_60	Grassi, M.	2017	The American View of the “Forgotten Century” of Italian Painting. Reminescences of a Conservator and Art Dealer	"in Peters Boworon, E. (a cura di), ""Buying Baroque: Italian Seventeenth-Century Paintings Come to America"""	Pennsylvania Park, The Pennsylvania State University Press	pp. 40-53	articolo di monografia			
B_60_2	Guida Genovese	1933	Opera Pompei		Genova, Istituto Derelitti		monografia			
B_61	Guidi Bruscoli, F.	2022	Addio a Leonardo Lapiccirella		in «Il Giornale dell'Arte», 7 dicembre 2022		articolo di periodico			
B_62	Gulli, C.	2021	La collezione Chiaramonte Bordonaro nella Palermo di fine Ottocento		Roma, Officina Libraria		monografia			
B_63	Imbellone, A. (Ed.)	2008	Maceo: anni romani 1934-1944		Cinisello Balsamo, Silvana		monografia			
B_64	Imbert, A.	1909	Ceramiche orvietane dei secoli XIII e XIV. Note su Documenti		Roma, Forzani		monografia			
B_65	Jandolo, A.	1935	Le memorie di un antiquario		Milano, Ceschina		monografia			
B_66	Jandolo, A.	1947	Antiquaria		Milano, Ceschina		monografia			
B_67	Jandolo, A.	1925	A viso aperto		in «L'Antiquario», XII, 1	pp. 15-16	articolo di periodico			
B_68	Lambrugo, C.	2018	Giulio Sambon e la sua collezione: dal commercio antiquario alla raccolta pubblica	"in Paolucci, G., Provenzali, A. (a cura di), ""Il viaggio della Chimera. Gli Etruschi a Milano tra archeologia e collezionismo"", catalogo della mostra (Milano, Civico Museo Archeologico, 12 dicembre 2018 - 12 maggio 2019)"	Milano, Johan & Levi Editore	pp. 75-82, pp. 233-239	articolo di monografia			
B_68_1	Landi, E.	2014	The antiquarian Carlo Alberto Foresti of Carpi, a correspondent of Bernard Berenson: unknown documents for the history of a dispersed collection		in Connors, Waldman	pp. 309-330	articolo di monografia			
B_69	L'Antiquario	1909	La vendita Ferroni		in «L'Antiquario», 12	pp. 88-92	articolo di periodico			
B_70	L'Antiquario	1916	Elia Volpi in America		in «L'Antiquario», VIII, 3	pp. 17-18	articolo di periodico			
B_71	Lapiccirella D.	2022	Era mio padre: un ricordo di Leonardo Lapiccirella		in «Gazzetta antiquaria», N.S. 55, 1		articolo di periodico			
B_72	L'Araldo	1923	Fratelli Volterra: antiquari fiorentini		in «L'Antiquario», X, 1-2	pp. 12-13	articolo di periodico			
B_73	L'Etrusco	1923	I bronzi di Barsanti		in «L'Antiquario», X, 1-2	p. 8	articolo di periodico			
B_74	L'Etrusco	1925	I fratelli Pini		in «L'Antiquario», XII, 3	p. 144	articolo di periodico			
B_75	L'Obiettivo	1932	Salvatore Romano		in «L'Antiquario», XVIII-XXV, 1	p. 48	articolo di periodico			
B_76	Lorizzo, L.	2018	L’arte di falsificare l’arte. Michele Lazzaroni e la Fototeca di Adolfo Venturi	"in Schiaffini, I. (a cura di), ""La fototeca di Adolfo Venturi alla Sapienza"""	Roma, Campisano Editore	pp. 85-94	articolo di monografia			
B_77	Lorizzo, L.	2015	Un falso Rinascimento? 2. il barone Michele Lazzaroni e la scultura		in «Studiolo», 11, 2014	pp. 108-119, 301-302	articolo di periodico			
B_78	Luzzetti, G.	2018	In volo coi gabbiani: memorie di un antiquario collezionista		Firenze, Le Lettere		monografia			
B_78_1	Malni Pascoletti, M.	1991	Una delle gallerie private più interessanti del mondo intero. Note su Italico Brass collezionista		in Masau Dan	pp. 43-52	articolo di monografia			
B_79	Mambelli, F.	2020	Il più grande centro commerciale di oggetti d’arte: la Galleria Sangiorgi tra strategie di marketing e artigianato artistico		in Bacchi, Capitelli	pp. 185-227	articolo di monografia			
B_80	Mambelli, F.	2014	La vendita della collezione Ferroni nelle fotografie di Federico Zeri	"in Bacchi, A., Mambelli, F., Rossini, M., Sambo, E. (a cura di), ""I colori del bianco e nero: fotografie storiche nella Fototeca Zeri 1870-1920"""	Bologna, Fondazione Federico Zeri	pp. 107-113	articolo di monografia			
B_81	Mana, L.	2022	Pietro Accorsi e il riuso dell'antico. Un avvio di ricerche		in D'Italia, Mana, Natale, Galateri di Genola	pp. 45-52	articolo di monografia			
B_82	Mannini, L.	2011	Luigi Bellini antiquario, collezionista e mecenate		in Mannini	pp. 245-250	articolo di monografia			
B_83	Mannini, L.	2011	Alessandro e Vittoria Contini Bonacossi, antiquari e collezionisti a Villa Vittoria		in Mannini	pp. 237-244	articolo di monografia			
B_84	Marangoni, M. & Barreca, L.	2006	Matteo Marangoni. Carteggi (1990-1958)		Palermo, Editrice Mediterranea		monografia			
B_85	Marano, V.	2007-2008	Due generazioni di antiquari, i Volterra		tesi di Laurea, Università di Bologna		monografia			
B_86	Mariz, V.	2018	«A magnificent work». O entusiasmo da Inglaterra Vitoriana em torno do Sào Pedro da Sé de Viseu, obra-prima do Grào Vasco		in «Artis – Revista de História da Arte e Cièncias do Património», 5	pp. 120-129	articolo di periodico			
B_87	Martini Stelio, M.	1966	Antiquari a Roma		in «Capitolivm», XLI	pp. 224-235	articolo di periodico			
B_87_1	Masau Dan, M. (Ed.)	1991	Italico Brass		Gorizia, Electa		monografia			
B_88	Minervino, F.	1976	Autenticazioni, falsi, esperti, specializzazioni		in «Bolaffiarte», 2, [supllemento al n. 64 di «Bolaffiarte»]	pp. 16-22	articolo di periodico			
B_89	Misiano, S.	2012	I ritratti di Augusto Jandolo al Museo di Roma: immagini tra storia e cronache d'arte		in «Bollettino dei musei comunali di Roma», N.S.	pp. 183-196	articolo di periodico			
B_90	Modestini, M.	2018	Capolavori?: basato su un manoscritto di Mario Modestini		Fiesole, Cadmo		monografia			
B_91	Morandotti, A.	2001	Italico Bras, pittore, conoscitore e mercante nell’età di Giuseppe Fiocco		in Orlando	pp. 241-250	articolo di monografia			
B_91_1	Morandotti, A.	2008	Il collezionismo in Lombardia. Studi e ricerche tra '600 e '800		Milano, Officina Libraria		monografia			
B_92	Moskowitz, A. F.	2015	Stefano Bardini 'principe degli antiquari': prolegomenon to a biography		Firenze, Centro Di		monografia			
B_93	Moskowitz, A. F.	2019	Giovanni Freppa, 'Jack of all Trades'		in «Journal of modern italian studies». Vol. 24, 4	pp. 551-578	articolo di monografia			
B_94	Napodano, L.	2018	Giulio Sambon mercante d'arte		in «Acme», vol. 17, 2	pp. 131-165	articolo di periodico			
B_95	Napoleone, V.	2020	Between Florence and Berlin: the international art market in post-unification Rome		in Catterson	pp. 181-208	articolo di monografia			
B_96	Napoleone, V.	2020	La Galleria Simonetti e la collezione di un grande antiquario romano		in Bacchi, Capitelli	pp. 95-115	articolo di monografia			
B_97	Napoleone, V.	2017	Bardini e Roma, collaborazioni antiquarie per una clientela d'oltreoceano		in Teodori, Celani	pp. 69-81: p. 80, nota 19	articolo di monografia			
B_98	Natale M.	2021	Vittorio Cini e Federico Zeri		in Barbero	pp. 75-94	articolo di monografia			
B_99	Natale, V.	2022	Gotico e Rinascimento in Piemonte di Pietro Accorsi		in D'Italia, Mana, Natale, Galateri di Genola	pp. 23-44	articolo di monografia			
B_100	Nesi, A.	2011	Stefano Bardini e il palazzo in piazza de’ Mozzi		in Mannini	pp. 127-137	articolo di monografia			
B_101	Niemeyer Chini, V.	2009	Stefano Bardini e Wilhelm Bode: mercanti e connaisseur fra Ottocento e Novecento		Firenze, Polistampa		monografia			
B_102	Ojetti, U.	1954	I taccuini: 1914-1943		Firenze, Sansoni		monografia			
B_103	Olcese Spingardi, C.	2020	Villa, Giovanni Battista		in Dizionario Biografico degli Italiani, 99		articolo di monografia			
B_104	Orlando. A (Ed.)	2001	Genova e il collezionismo nel Novecento: studi nel centenario di Angelo Costa, 1901-1976		Torino, U. Allemandi		monografia			
B_105	Ottani Cavina, A., Natale, M.	2017	Il falso specchio della realtà		Torino, U. Allemandi		monografia			
B_106	Pazzi, S.	2016	La donazione dimenticata: l'incredibile vicenda della collezione Contini Bonacossi		Milano, Mondadori Electa		monografia			
B_106_1	Pellegrini, E.	2022	Göring in Italy: the Ventura case		in Fuhrmeister, Murovec	pp. 145-162	articolo di monografia			
B_106_2	Pellegrini, E.	2014	Gli scambi di opere d’arte nella politica del Ventennio. I Busti Vanchetoni per la Pietà di Palestrina e il caso Ventura-Goering		in Cipriani Curzi Picardi	pp. 245-251	articolo di monografia			
B_107	Piccioli, A.	1929	Un altro atto di mecenatismo dei Conti Contini: La Pietà di Attilio Selva		in «L'Antiquario», XVI, 2	pp. 65-68	articolo di periodico			
B_107_1	Piccolo, O.	2008	La collezione dispersa: le opere Cagnola-Lattuada prima e dopo l'asta Geri del 1916		Verona, Scripta Edizioni		monografia			
B_108	Pini, S.	2011	Fondazione Salvatore Romano: guida alla visita del museo		Firenze, Polistampa		monografia			
B_109	Pini, S.	2011	Salvatore Romano, dai segreti del Palazzo Magnani Feroni a Santo Spirito		in Mannini	pp. 148-156	articolo di monografia			
