ID	Autore	Anno	Titolo	Completamento del titolo	Città, editore o rivista	Pagine	Tipologia	Istituto	Fondo	Segnatura
B_140	Tolosani, D.	1913	I colleghi d'Italia: Romani		in «L'Antiquario», VI, 1	pp. 1-4	articolo di periodico			
B_141	Tolosani, D.	1913	I colleghi d'Italia: Bolognesi		in «L'Antiquario», VI, 2-3	pp. 9-12	articolo di periodico			
B_142	Tolosani, D.	1923	Il Museo Bardini		in «L'Antiquario», XII, 4-5	pp. 149-159	articolo di periodico			
B_143	Tolosani, D.	1924	Raoul Tolentino		in «L'Antiquario», XI, 6-7	p. 187	articolo di periodico			
B_144	Tolosani, D.	1926	Galleria Bellini		in «L'Antiquario», XIII,2	pp. 53-54	articolo di periodico			
B_145	Tolosani, D.	1928	La donazione Contini		in «L'Antiquario», XV, 3	pp. 123-125	articolo di periodico			
B_146	Tolosani, D.	1928	Giuseppe Sangiorgi		in «L'Antiquario», XV, 2	pp. 68-69	articolo di periodico			
B_147	Towner, W.	1970	The elegant auctioneers		New York, Hill & Wang		monografia			
B_148	Turco, V.	1924	Barsanti e i suoi bronzi		in «L'Antiquario», XI, 2	pp. 37-44	articolo di periodico			
B_149	Watrelot, M.	2020	Wilhelm von Bode and Prince Johann II von Liechtenstein: the private correspondence 1882-1925		in Catterson	pp. 11-46	articolo di monografia			
B_150	Zaninelli, F.	2020	The interesting Case of Alessandro Contini Bonacossi (1878-1955) and Wilhelm von Bode (1845-1929)		in Catterson	pp. 249-305	articolo di monografia			
B_151	Zaninelli, F.	2018	Alessandro Contini Bonacossi (1878-1955). Cenni biografici	"in Draghi, S., Tosone, A. (a cura di), ""La collezione Contini Bonacossi nelle Gallerie degli Uffizi"""	Firenze, Giunti	pp. 301-317	articolo di monografia			
B_152	Zaninelli, F.	2018	Alessandro Contini Bonacossi, antiquario (1875-1955): the art market and cultural philantropy in the formation of american museum		Phd Diss., University of Edinburgh		monografia			
B_153	Zaninelli, F.	2023	Some Remarks on Wilhelm Bode and the Art Market in Italy, 1880-1909: the cases of Pietro Foresti (1854-1926) and A. Chiesa		in Smalcerz	pp. 151-205	articolo di monografia			
B_154	Zanni, A.	2000	Dedicato a Giuseppe Baslini (1817-1887)	"in Flores D'Arcais, F., Olivari, M. (a cura di), ""Arte lombarda del secondo millenio: saggi in onore di Gian Alberto Dell'Acqua"""	Milano, Motta	pp. 270-275	articolo di monografia			
B_154_1	Zaru, C.	2022	L'affare Ventura: antiquari e collaborazionisti intorno alla seconda guerra mondiale. Una ricerca ispirata ai documenti dell’Archivio Siviero		in «Contesti d'arte», anno 2, numero 2	pp. 179-199	articolo di periodico			
B_155	Zavatta, G.	2008	Leo e Vittorio Veneziani. Antiquari, connaisseurs, 'collezionisti'		in Imbelloni	pp. 54-64	articolo di monografia			
B_155_1	Zeri, F.	1986	Una sala Alitalia ad Assisi nel sacro Convento. Le 57 opere più belle della collezione Mason Perkins		in «Il Giornale dell'Arte», numero 37	p. 16	articolo di periodico			
B_156	Zeri, F.	1995	Confesso che ho sbagliato. Ricordi autobiografici		Milano, Longanesi		monografia			
B_156_1	Zorzi, E.	1934	L'arte italiana in America		in «Gazzetta di Venezia», 3 febbraio 1934		articolo di periodico			
B_157	Sacchi Lodispoto, T., Spinazzè, S. (Ed.)	2019	Attilio Simonetti (1843-1925): pittore alla moda e antiquario a Roma	catalogo della mostra (Galleria Berardi, Roma, 24 gennaio-23 febbraio 2019)	Roma, Berardi Galleria d'Arte, 2019		monografia			
B_158			Al Palazzo Davanzati (inaugurazione)		in «L'Antiquario», 1-2	pp. 1-2	articolo di periodico			
B_159	American Art Association, Anderson Galleries, Canessa, E.	1930	An important collection of rare and valuable antiquities, Gothic and Renaissance furniture... Primitive paintings... rare Greek and Graecoroman sculptures... gathered from famous european collections by the late Ercole Canessa...	New York, 29 marzo 1930			catalogo d'asta			
B_160	Finarte	1987	Arredi e dipinti, Ca’ Sagredo, Venezia	Venezia, 28-29 novembre 1987			catalogo d'asta			
B_161			Borrowed to buy art treasures then mortgaged them to buy more		in «The New York Herald», 1 novembre 1925	p. 7	articolo di periodico			
B_162	Galleria Ciardiello	1936	Catalogo degli oggetti già appartenenti all’Antiquario Pallotti, arte e ammobiliamento antico, quadri, sculture...	Firenze, 23 novembre-1 dicembre 1936			catalogo d'asta			
B_163	Galleria L'Antonina	1936	Catalogo dei mobili ed oggetti d'arte antichi componenti la collezione appartenuta al compianto comm. Gustavo Corvisieri...	Roma, 25 marzo-9 aprile 1936	Roma, Quintiily		catalogo d'asta			
B_164	Jandolo & Tavazzi	1912	Catalogo dei pregevoli oggetti d’arte antichi e moderni di pertinenza del defunto sig. Antonio Jandolo e di un distinto collezionista	Roma, 4-12 marzo 1912			catalogo d'asta			
B_165	Galleria d'arte Vitelli	1923	Catalogo della collezione d'arte antica di proprieta Edoardo Villa & C. di cui avrà luogo la vendita al maggiore offerente nelle sale del palazzo Granello piazza Giustiniani 7, Genova	Genova, 15-22 dicembre 1923			catalogo d'asta			
B_166	Giulio Sambon	1888	Catalogo della collezione Baslini di Milano... Quadri, avori, medaglie, placchette, armi...	Milano, 26 Novembre 1888 e giorni successivi			catalogo d'asta			
B_167	Galleria Ciardiello	1935	Catalogo della collezione De Clemente, Palazzo Ricasoli Firidolfi, Firenze: oggetti di sola arte antica, quadri sculture, bronzi, mobili, maioliche italiane ecc. ecc.	Firenze, 29 aprile-3 maggio 1935			catalogo d'asta			
B_168	Galleria Ciardiello	1932	Catalogo della raccolta di arte antica appartenente al noto Antiquario Enrico Testa che viene venduta all’Asta Pubblica per definitivo ritiro dal commercio	Firenze, 23 maggio-1 giugno 1932			catalogo d'asta			
B_169	Impresa vendite Cesare Galardelli	1926	Catalogo della vendita di arte antica di proprietà del sig. L.M. Banti: mobili originali dal XV al XVII scolo. Quadri fondi oro, sculture classiche...	Firenze 14-16 aprile 1926			catalogo d'asta			
B_170	Casa di vendite Guglielmi	1938	Catalogo delle raccolte d'arte ed arredamento antico dell'antiquario Pasquale Addeo...	Roma, 22-24 febbraio 1938			catalogo d'asta			
B_171	Eredi Giugni	1970	Catalogo di quanto viene venduto dal Palazzo Internazionale delle Aste ed Esposizioni: Firenze, per ordine di Eredi Giugni, comprendente: mobili, quadri, sculture, arazzi, tappeti...	Firenze, 17-19 ottobre 1970	Bologna, Poligrafici Consolini & C.		catalogo d'asta			
B_172	Domenico Corvisieri	1894	Catalogue de la riche collection d'armes du Moyen Age et de la Renaissance et de rares objets d'art anciens et modernes appartenant a la liquidation du patrimoine de le baron M. A. Lazzaroni, dont la vente aux encheres publiques aura lieu a Rome sous la direction de M. Dominique Corvisieri	Roma, 10-20 dicembre 1894			catalogo d'asta			
B_174	Jandolo & Tavazzi, Galleria Sangiorgi	1909	Catalogue de la vente après décès de mr Joachim Ferroni: se composant de tableaux des maîtres italiens et étrangers	Roma, 14-22 aprile 1909			catalogo d'asta			
B_175	Jandolo & Tavazzi	1910	Catalogue de la vente des objets d’art ancien composant les collections Elie Volpi	Roma 25 aprile-3 maggio 1910			catalogo d'asta			
B_176	Clarke, A.W., Freund, K. (Ed.)	1922	Catalogue of the rare and valuable collection formed by the widely known and eminent expert and connoisseur Chev. Raoul Tolentino...	New York, 18-25 novembre 1922			catalogo d'asta			
B_177			Coming italian art sale. Raoul Tolentino		in «American Art News», 12 luglio 1919, 17, n. 36	p. 5	articolo di periodico			
B_178			Coming italian art sale. Raoul Tolentino		in «American Art News», 17 aprile 1920	p. 9	articolo di periodico			
B_179			Commemorazione di Arturo Rambaldi		in «L'Antiquario», XVI, 3, 1929	p. 177	articolo di periodico			
B_180			Commemorazione di Cesare Lampronti		in «L'Antiquario», XVIII-XXV, 1, 1932	pp. 45-46	articolo di periodico			
B_181			Commemorazione di Edoardo Villa		in «L'Antiquario», XII, 1, 1925	p. 45	articolo di periodico			
B_182			Commemorazione di Vincenzo Ciampolini		in «L'Antiquario», XVIII-XXV, 1, 1932	p. 46	articolo di periodico			
B_183	American Art Association	1920	De luxe catalogue of the rare artistic properties collected by Signor Raoul Tolentino	New York, 21-27 aprile 1920			catalogo d'asta			
B_183_b	Townsend, H., American Art Association	1921	De luxe illustrated catalogue of the extensive and very valuable artistic antique property belonging to ... Luigi Orselli...		New York		catalogo d'asta			
B_184	American Art Association	1922	De luxe illustrated catalogue of the furniture and works of art from the castle formerly occupied by the Savoy family in Verzuolo (Piedmont) Italy and other valuable artistic property recently selected abroad by the connoisseur chevalier Raoul Tolentino	New York, 16-18 febbraio 1922			catalogo d'asta			
B_185	Madesani, A., Staudacher, E. (Ed.)	2017	Galleria Pesaro: storia di un mercante creatore di collezioni	catalogo della mostra (Milano, Galleria Maspes, 21 settembre-14 ottobre 2017)	Crocetta del Montello (TV), Antiga Edizioni		monografia			
B_186			Gr. Uff. Prof. Luigi Grassi.		in «L'Antiquario», XIV, 2, 1927	p. 77	articolo di periodico			
B_188	American Art Association	1924	Illustrated catalogue of Gothic and Renaissance Italian and French art gathered by chevalier Raoul Tolentino...	New York, 22-26 aprile 1924			catalogo d'asta			
B_189	American Art Association	1919	Illustrated catalogue of the rare and valuable Italian Renaissance furniture...paintings and textiles, Greek and Roman antiquities... comprising the Tolentino Galleries Collection	New York, 1-2 maggio 1919			catalogo d'asta			
B_190	de Nicola, G., Toesca, P., American Art Association	1927	Italian art: the collection of Professor Luigi Grassi, furniture, textiles, sculpture and jewelry	New York, 20-22 gennaio 1927			catalogo d'asta			
B_191			Italian Count marries American society woman		in «The New York Herald», 20 settembre 1922	p. 1	articolo di periodico			
B_192	American Art Association, Anderson Galleries	1931	Italian furniture of the Renaissance, rare Majolica... Primitive and Renaissance paintings, the collection of Achille De Clemente, Florence...	New York, 15-17 gennaio 1931			catalogo d'asta			
B_193	Wannenes	2016	La collezione Gallino: dipinti antichi e del XIX secolo	Genova, 1 giugno 2016			catalogo d'asta			
B_194			La statua del Prof. Costantini		in «L'Antiquario», 3-4	pp. 28-29	articolo di periodico			
B_195	Mannini, L. (Ed.)	2011	Le stanze dei tesori: collezionisti e antiquari a Firenze tra Ottocento e Novecento	catalogo della mostra (Firenze, Palazzo Medici Riccardi, 3 ottobre 2011-15 aprile 2012)	Firenze, Polistampa		monografia			
B_196			Nuovi antiquari a Firenze		in «L'Antiquario», X, 4-5, 1923	p. 57	articolo di periodico			
B_197			Pietro Bruschi di Arezzo		in «L'Antiquario», XIV, 2, 1927	p. 83	articolo di periodico			
B_198	Sotheby's	2013	Property from the estate of Giancarlo Baroni	New York, 29-30 gennaio 2013			catalogo d'asta			
B_199			Raimondo Orselli		in «L'Antiquario», XVII, 1, 1930	p. 10	articolo di periodico			
B_200	Curtis Studio	1922	Rare artistic properties collected by the expert and connoisseur chevalier Raoul Tolentino of Rome	San Francisco, 21-24 marzo 1923			catalogo d'asta			
B_201			Rare italian art in Tolentino sale		in «American Art News», 11 novembre 1922, 21, 5	p. 4	articolo di periodico			
B_202	D'Italia, S., Mana, L., Natale, V., Galateri di Genola, M. (Ed.)	2022	Rinascimento Privato. Da Spanzotti a Defendente Ferrari nelle Collezioni Piemontesi	catalogo della mostra (Torino, Museo di Arti Decorative Accorsi-Ometto, 21 ottobre 2022-29 gennaio 2023)	Genova, Sagep, 2022		monografia			
B_203			Roman antiquarian killed by autobus		in «The Paris Time», 5 p.m. Ed., 2 agosto 1928	p. 1	articolo di periodico			
B_204	Sotheby's	2009	Salvatore e Francesco Romano antiquari a Firenze, un secolo di attività a Palazzo Magnani Feroni	Firenze, 12-15 ottobre 2009			catalogo d'asta			
B_205	American Art Association	1927	The Achillito Chiesa collection. Part IV. Italian, Dutch and Flemish XV-XVII Century paintings, portraits and genre subjects...	New York, 22-23 novembre 1927			catalogo d'asta			
B_206	American Art Association, De Groot, H., Hoogerwerff, G. J., De Nicola, G. (Eds.)	1925	The collection of Achillito Chiesa Esq. of Milan. Part I. Flemish and Dutch paintings... Italian Primitives and Renaissance examples...	New York, 27 novembre 1925			catalogo d'asta			
B_207	American Art Association	1926	The collection of Achillito Chiesa. Part II. Italian Primitives and Renaissance paintings...	New York, 16 aprile 1926			catalogo d'asta			
B_208	American Art Association	1924	The collection of Professor Paolo Paolini, distinguished paintings & sculptures by celebrated Italian masters X-XVI Century	New York 10-11 febbraio 1924			catalogo d'asta			
B_209	American Art Association	1926	The collection of Raoul Tolentino. Paintings, with fine Primitive and Renaissance examples...	New York, 8-11 dicembre 1926			catalogo d'asta			
B_210	American Art Association	1926	The collection of Sr. Achillito Chiesa of Milan. Part III, XV-XVI Century majolicas Gothic ivories....	New York, 16-17 aprile 1926			catalogo d'asta			
B_211			The man of the day		«The Paris Time», 5 P.M. Edition, 8 marzo 1927, Parigi.		articolo di periodico			
B_212	American Art Association	1925	The Tolentino collection, important italian works of art, Gothic and Renaissance marbles...	New York, 29 31 gennaio 1925			catalogo d'asta			
B_213	Pandolfini	2016	Un secolo tra collezionismo e mercato antiquario a Firenze	Firenze, 19 ottobre 2016			catalogo d'asta			
B_214	Pandolfini	1968	Vendita all’asta dell’importante raccolta di dipinti antichi, mobili, oggetti d’arte e di arredamento, argenterie e preziosi appartenenti alla successione di Miss Rita Miriam Bellesi	Firenze, 14-17 ottobre 1968			catalogo d'asta			
B_215			Vendita Volpi		in «L'Antiquario», II, 9-10	pp. 57-61	articolo di periodico			
B_215_1			"L'Antiquario Alfredo Geri ha ritrovato la ""Gioconda"""		in «L'Antiquario», VI, 1913, 9-12		articolo di periodico			
B_215_2			Negozianti d'arte (Roma-Rovereto)		in «Maecenas», 1.1927, Berlino, Stern	p. 425	articolo di periodico			
B_215_3			La Madonna del Giambellino rubata e recuperata a Venezia		in «L'Antiquario», II, 1909, 1	pp. 6-8	articolo di periodico			
B_215_4			Mostra dei quarant'anni della Biennale: 1895-1935. Venezia, maggio-luglio 1935		Venezia, Tip. C. Ferrari		monografia			
B_216		2/15/2023	Intervista a Riccardo Bacarelli		Firenze		intervista			
B_217		2/15/2023	Intervista a Mattia e Maria Novella Romano		Firenze		intervista			
B_218		2/23/2023	Intervista ad Anita Anita Almehagen		Firenze		intervista			
B_219		2/24/2023	Intervista a Luigi Grassi		Firenze		intervista			
B_220		3/23/2023	Intervista a Luca Mana		Torino		intervista			
B_221		3/23/2023	Intervista a Roberto Grasselli		Torino		intervista			
B_222		2023-06-04 00:00:00	Intervista eredi Bellini, Firenze		Firenze		intervista			
B_223		5/21/2023	Intervista Tullio Calabi, Torino		Torino		intervista			
B_224		5/26/2023	Intervista a Roberto Freschi		Pistoia		intervista			
B_225		5/29/2023	Intervista a Roberto Siciliani				intervista			
B_226		2023-06-06 00:00:00	Intervista Emanuela Sestieri		Roma		intervista			
B_227		2023-09-06 00:00:00	Intervista a Marco Fabio Apolloni		Roma		intervista			
B_228		2023-09-06 00:00:00	Intervista a Alessandra Di Castro e Alberto Di Castro		Roma		intervista			
B_229		10/23/2023	Intervista a Davide Sestieri		Roma		intervista			
B_230		11/23/2023	Intervista a Damiano Lapiccirella		Roma		intervista			
B_231		10/18/2023	Intervista a Paolo Viancini				intervista			
B_232		1608	Le arme overo insegne di tutti li nobili della magnifica et illustrissima città di Venezia che hora vivono novamente racolte & con diligentia poste in luce		Venezia, apresso Alessandro Vecchi		monografia			
B_233		1931-1932	Guida commerciale della città e provincia di Venezia. Annuario commerciale, industriale, amministrativo, professionale, culturale, con annesso turistico		Venezia, Dott. Suttora & C.		monografia			
B_234	Bode, W.	1930	Mein Leben		Berlino, H. Reckendorf		monografia			
B_235		1937	Catalogo della prima fiera nazionale d'arte antica organizzata sotto gli auspici della federazione nazionale fascista commercianti prodotti artistici		"Cremona, Stabilimento tipografico società editoriale ""Cremona nuova"""		monografia			
B_236	Bignami, S. , Rusconi, P.	2012	Le arti e il Fascismo. Italia anni trenta		in «Art e Dossier», 291 (settembre 2012)		articolo di periodico			
B_237	Boscolo Marchi, M.	2022	Nino Barbantini e l'arte asiatica. L'attività per il Museo d'arte orientale Marco Polo		in «Saggi e Memorie di Storia dell'arte», 46 (2022)	pp. 170-179	articolo di periodico			
B_238	Benazzi, G.	2022	Lo studiolo di Gubbio al di qua e al di là dell’Atlantico	"in Gangemi, F., Michalsky, T. e Toscano, B. (a cura di), ""Medioevo tra due mondi. San Nicolò a San Gemini e le alienazioni monumentali nella prima metà del Novecento"""	Roma, Campisano Editore		saggio in volume			
B_239	Colombo, N.	2016	Lino Pesaro. Trentacinque anni tra arte e mostre		in Sansone	pp. 59-66	articolo di monografia			
B_240	de Divitiis, B., Folin, M. (a cura di)	2025	Kunstexporte aus Venedig nach der Einigung Italiens: Neue Quellen aus den Archiven in Venedig und Rom und die Kunst-und Antiquitätengalerie Guggenheim		in «Zibaldone», 79 (2025)	pp. 18-29	articolo di periodico			
B_241		1980	Gli Uffizi: catalogo generale		Firenze, Centro Di		monografia			
B_242	Gardner, E.E.	1998	A Bibliographical Repertory of Italian Private Collections	Vol. 1: Abaco-Cutolo	Vicenza, Neri Pozza Editore		monografia			
B_243	Gardner, E.E.	2002	A Bibliographical Repertory of Italian Private Collections	Vol. 2: Dabalà-Kvitkta	Vicenza, Neri Pozza Editore		monografia			
B_244	Giannini, C.	2007	"Donatello e una ""casa"" del Rinascimento. Capolavori dal Jacquemart Andrè. Dall'arredo al museo. La residenza di Edouard André e Nélie Jacquemart"		https://www.zoomedia.it/Firenze/eventi/medici_riccardi/donatello_casa_rinascimento/contributo_c_giannini.html		articolo online			
B_245	Galerie Hugo Helbing	1913	Catalogue de la collection de M. Le comm. M. Guggenheim, Venise. Objets d'Art et de haute Curiosité, Tableaux et Dessins de Maitres anciens		Monaco di Baviera, Hugo Helbing		catalogo d'asta			
B_246	Isman, F.	2004	Così un intero angolo di città ha traslocato: è andato in Pennsylvania, a Philadelphia	"in ""Venezia altrove. VA. Almanacco della presenza veneziana nel mondo"", 3.2004"	Venezia, Marsilio	pp. 13-31	saggio in volume			
B_247	Künzel, F., Götze, B.	1995	Verzeichnis des schriftlichen Nachlasses von Wilhelm von Bode		Berlino, Zentralarchiv, Staatliche Museen zu Berlin Preußischer Kulturbesitz		monografia			
B_248	Lazzarini, L.	2018	Venezia: un frammento configurato di architrave romano in pietra d’aurisina riusato come vasca tardomedievale	"in Pedone, S., Paribeni, A. (a cura di), ""Di Bisanzio dirai ciò che è passato, ciò che passa e che sarà. Scritti in onore di Alessandra Guiglia"""	Roma, Bardi Edizioni	vol. II, pp. 683-694	saggio in volume			
B_249	Levi, C.A.	1900	Le collezioni veneziane d'arte e d'antichità dal secolo XIV ai nostri giorni		Venezia, Ferdinando Ongania Editore		monografia			
B_250	Madesani, A., Staudacher, E. (Ed.)	2017	Galleria Pesaro. Storia di un mercante creatore di collezioni		Vicenza, Antiga Edizioni		monografia			
B_251	Mangiarotti, V.	1869	Guida commerciale di Venezia per l'anno 1869		Venezia, Reale tipografia di Gio. Cecchini		monografia			
B_252	Mangiarotti, V.	1884	Guida commerciale della città e provincia di Venezia per l'anno 1885		Venezia, Lito-tipografia M. Fontana		monografia			
B_253	Mangiarotti, V.	1903	Guida Mangiarotti città e provincia. Commerciale, industriale, amministrativa		Venezia, D. De Marco, A. Spalmach		monografia			
B_254	Mangiarotti, V.	1931-1932	Guida commerciale di Venezia e provincia. Annuario commerciale, industriale, amministrativo, professionale, culturale con annesso turistico		Venezia, Dott. Suttora & C.		monografia			
B_255	Martignon, A.	2015	Michelangelo Guggenheim (1837-1914) e il mercato di opere, di oggetti d'arte e d'antichità a Venezia fra medio Ottocento e primo Novecento		Tesi di Dottorato, tutor Prof.ssa G. Perusini, co-tutors Prof.ssa L. Borean, Prof. N. Stringa, Dottorato di Ricerca in Storia dell’Arte, Università degli Studi di Udine, a.a. 2014/2015 (2015)	pp. 96-99	tesi			
B_256	Martignon, A.	2025	Moisè Michelangelo Guggenheim (1837-1914) in Venice: dealer, manufacturer, decorator, collector and philanthropist	"in Davoli, S., Stammers, T. (a cura di), ""Jewish dealers and the European art market, c. 1860-1940: negotiating cultural modernity"""		pp. 57-74	saggio in volume			
B_257	Martoni, A.	2020	Il Maestro del Crocifisso della Fondazione Giorgio Cini: un convegno, un restaruo, una mostra		in «Lettera da San Giorgio», 42 (2020)	pp. 16-20	articolo di periodico			
B_258	Ongania, F.	1890	Der Grosse Canal in Venedig		Venezia, Ferdinando Ongania Editore	p. 33	monografia			
B_259	Paruzzo, V.	2017	Michelangelo Guggenheim e le arti decorative		in «Saggi e Memorie di storia dell'arte», 39 (2017)	pp. 46-71	articolo di periodico			
B_260	Penny, N.	2023	Antiquari e gallerie commerciali nella Venezia asburgica		in «Predella», 54 (2023)	pp. 91-105, tavv. XXIII-XXVI	articolo di periodico			
B_261	Pilo, G.M.	1961	Carpioni		Venezia, Edizioni Alfieri		monografia			
B_262	Pontiggia, E.	2018	Le mostre alla Galleria Pesaro	"in F. Benzi (a cura di), ""Mario Sironi"", catalogo della mostra"	Cinisello Balsamo (MI), Silvana Editoriale	pp. 307-309	saggio in volume			
B_263	Quill, S.	2018	Ruskin’s Venice. The Stones revisited. New Edition		Londra, Lund Humphries Publishers Ltd		monografia			
B_264	Rizzi, A.	1981	Vere da pozzo di Venezia. I puteali pubblici di Venezia e della sua laguna		Venezia, Stamperia di Venezia		monografia			
B_265	Rosenbaum, S.L.	1989	The Role of a Dealer in the Development of Collections: Loewi-Robertson, Inc., a Case Study		in «Bulletin du CIETA-Centre international d'étude des textiles anciens», 67 (1989)	pp. 89-101	articolo di periodico			
B_266	Scarante, L.	2024	Il sequestro dei beni di 'sudditi nemici' durante la Prima Guerra Mondiale: il caso della Galleria d’arte Loewi a Venezia		non pubblicata		tesi			
B_267	Sainte-Fare-Garnot, N.	1998	Les Tiepolo du Musée Jacquemart-André	"in Puppi, L. (a cura di), ""Giambattista Tiepolo nel terzo centenario della nascita"" (atti del convegno internazionale di studi Venezia - Vicenza - Udine - Parigi, 29 ottobre - 4 novembre 1996)"	Padova, Il Poligrafo	pp. 51-62	saggio in volume			
B_268	Samassa, I.	2012	Casa dei Battuti di Oderzo: un affresco di Giovanni di Francia ritrovato?		in «Commentari d'arte. Rivista di critica e storia dell'arte», 18 (2012)	pp. 66-69	articolo di periodico			
B_269	Sansone, L. (Ed.)	2016	Gallerie milanesi tra le due guerre		Cinisello Balsamo (MI), Silvana Editoriale		monografia			
B_270	Semenzato Casa d'asta	1995	Collezioni d'arte e d'antiquariato del N.H. Alvise Barozzi: Importanti mobili, dipinti antichi e oggetti d'arte provenienti anche da collezioni private		Venezia, Semenzato		catalogo d'asta			
B_271	Serra, L.	1914	Catalogo delle Regie Gallerie dell'Accademia		Venezia, C. Ferrari		monografia			
B_272	Tursi, A.	1923	Un palazzo veneziano del Quattrocento		Bergamo, Istituto Italiano d'arti grafiche		monografia			
B_273	Zorzi, E.		Il Museo d'arte orientale a Venezia	Milano	in «La Lettura»	pp. 204-210	articolo di periodico			
B_274	Casa di vendite palazzo Simonetti	1942	Vendita di oggetti d’arte negli studi terreni di via Margutta 53.B		Roma		catalogo d'asta			
B_275	Perretta, V.	1978	Ludwig Pollak uno ‘Swann romano’	"in Riessner C. (a cura di),"" Gli autografi goethiani della raccolta Pollak"""	Roma, Edizioni dell'Ateneo & Bizzarri	pp. 9-28	saggio in volume			
B_276	Merkel Guldan, M.	1988	Die Tagebücher von Ludwig Pollak. Kennerschaft und Kunsthandel in Rom 1893–1934		Vienna, Verlag der Österreichischen Akademie der Wissenschaften		monografia			
B_277	Moschini Marconi, S.	1955	Gallerie dell'Accademia di Venezia	a cura di Sandra Moschini Marconi	Roma, Istituto Poligrafico dello Stato	cat. 13	monografia			
B_278	Cagiano de Azevedo, E.	2002	Ludovico Pollak e il Museo Barracco: la donazione Nicod al Comune di Roma		in «Bollettino dei Musei Comunali di Roma», 48, 15 (2002)	pp. 117-132	articolo di periodico			
B_279	Cagiano de Azevedo, E.	2010	Fra commercio e istituzioni, la vita romana di Ludovico Pollak	"in E. Cagiano de Azevedo, R.G. Nucci (a cura di), ""Riflessioni sulla tutela. Temi, problemi, esperienze"""	Firenze, Polistampa	pp. 41-62	saggio in volume			
B_280	Rossini, O.	2018	Ludwig Pollak archeologo e mercante d’arte (Praga 1868 - Auschwitz 1943). Gli anni d’oro del collezionismo internazionale da Giovanni Barracco a Sigmund Freud	catalogo della mostra (Roma, Museo di Scultura Antica Giovanni Barracco e Museo Ebraico di Roma)	Roma, Gangemi Editore		monografia			
B_281	Ascarelli, R., Rossini, O.	2021	Ossessione per l’antico. Sigmund Freud e Ludwig Pollak tra ebraismo, archeologia, collezionismo	atti del convegno, Roma, Palazzo Braschi, (7 aprile 2019)	Roma, Edizioni 't		monografia			
B_282	De Giambattista, F.	2021	Sacro e profano nella collezione d’arte di Ludwig Pollak. Una scultura di Diana cacciatrice di epoca imperiale e una Madonna col Bambino del Trecento napoletano		in «Bollettino dei Musei Comunali di Roma», n.s. 35 (2021)	pp. 5-22	articolo di periodico			
B_283	von Trotha, H.	2021	Pollaks Arm		Berlino, Kalus Wagenbach		monografia			
B_284	De Giambattista, F.	2022	Ludwig Pollak, Wilhelm von Bode’s Trusted Art Dealer on the Roman Art Market (1902–1929): New Findings on the Provenance and Historical Context of Early Medieval and Byzantine Liturgic Sculptures sold to the Kaiser-Friedrich-Museum		in «Jahrbuch der Berliner Museen», 63 (2022)	pp. 65-90	articolo di periodico			
B_285	De Giambattista, F.	2023	Il contributo di Ludwig Pollak per l’arricchimento della collezione paleocristiana e medievale del Kaiser-Friedrich-Museum di Berlino. Le opere d’arte vendute a Wilhelm Bode tra il 1902 e il 1904		in «Arte Medievale», 4 s., 13 (2023)	pp. 271-290	articolo di periodico			
B_286	De Giambattista, F., Hüls-Valenti, K., Pötzsch, H.	2024	«‘[…] I am really proud to have in my room my Guercino and my Cavallino […]’. Ludwig Pollak and The Dream of Joseph. On the intricate Provenance of a Neapolitan Baroque Painting»		in «Predella», 56 (2024)	pp. 89-107, tavv. LXXXIV–XC	articolo di periodico			
B_287	De Giambattista, F.	2025	Ludwig Pollak e il Medioevo. Studio, collezionismo e commercio internazionale nella Roma postunitaria		Cinisello Balsamo (MI), Silvana Editoriale		monografia			
B_288	De Giambattista, F.	2025	Ludwig Pollak, Denis Mahon and Guercino's 'Mystical ecstasy of St Francis'		in «The Burlington Magazine», 167, pp. 1212-1217		articolo di periodico			
B_289	Salamon, F.	1960	Il conoscitore di stampe		Torino, Einaudi		monografia			
B_290	Salamon, F.	1971	La collezione di stampe: guida allo studio dell'incisione antica e moderna con oltre 250 illustrazioni in nero e 18 a colori		Milano, Mondadori		monografia			
B_291	Galleria Salamon, Agustoni, Algranti	1985	Incisioni dal XV al XIX secolo		Milano, Mondadori		catalogo d'asta			
B_292	Il Gabinetto Salamon, Dall'Orso, S.	1987	Antonio Visentini		Milano, Galleria Salamon		monografia			
B_293	Salamon, G.A.	2002	Il piacere di collezionare stampe contemporanee		Torino, Allemandi		monografia			
B_294	Salamon, L., Alvar, G.	2010	Saper vedere la stampa d'arte		Milano, Mondadori Arte		monografia			
B_295	Facchinetti, S.	2023	Matteo Salamon. Ragione e sentimento		in «Gazzetta antiquaria»		articolo online			
B_296	Palma, A.	2023	Salamon & C.		in «Bloomsbury Art Market»		articolo online			
B_297	Colnaghi, P.	1792-1795	The Cries of London		Londra, Colnaghi		monografia			
B_298	Manning, E., Shaw, J. B.	1960	Colnaghi's 1760-1960		Londra, Lund, Humphries & Co.		monografia			
B_299	Garstang, D.	1984	Art, Commerce and Scholarship. A Window onto the Art World. Colnaghi 1760-1984		Londra, P. & D. Colnaghi		monografia			
B_300	Baroni, J.	1990	Master Drawings: an exhibition at our New York Gallery		Londra, P. & D. Colnaghi		monografia			
