ID	Nome Persona	ID_entità	ID_luoghi	Professione	Nascita	Morte	Nome attività
LO_1	Adolph (Adolfo) Loewi	LO	IT_154 IT_155 USA_10	antiquario	1888	1977	Adolph Loewi, Inc.
LO_2	Gabriella Katherine "Kay" Loewi	LO	USA_11	antiquario	1920	2020	Loewi-Robertson, Inc.
PO_III_1	Adolph (Adolfo) Pollak	PO_III	IT_156 IT_157	antiquario	1868	1943	
SA_VII_1	Matteo Salamon	SA_VII	IT_164	antiquario	1964		“Salamon & C.”; “Matteo Salamon”
SA_VII_2	Ferdinando Salamon	SA_VII	CA_1	antiquario			
SA_VII_3	Teresa Salamon	SA_VII		antiquario			
SA_VII_4	Silverio Salamon	SA_VII	IT_158	antiquario	1955	2014	“Arte antica”
SA_VII_5	Gian Alvise Salamon	SA_VII		antiquario			
SA_VII_6	Harry Salamon	SA_VII	IT_159 IT_160 IT_161 IT_162 IT_163 IT_164	antiquario	1943		“Il Gabinetto delle stampe”
SA_VII_7	Lorenza Salamon	SA_VII	IT_164	antiquario	1963		“Salamon & C.”; “Salamon Fine Art”
SA_VII_8	Elena Salamon	SA_VII	IT_165	antiquario	1969		
CO_IV_1	Giovanni Battista Torre	CO_IV	FR_9 UK_8 UK_9 UK_10	antiquario		1780	“Cabinet de Physique Expérimentale”; "Torre &Co."
CO_IV_2	Anthony Torre	CO_IV	FR_9	antiquario			“Cabinet de Physique Expérimentale”; "Torre &Co."
CO_IV_3	Paul Colnaghi	CO_IV	UK_8 UK_9	antiquario	1751	1833	"Torre &Co."; "Colnaghi & Co."
CO_IV_4	Dominic Charles Colnaghi	CO_IV	UK_10	antiquario	1790	1879	"Colnaghi & Co."
CO_IV_5	Martin Colnaghi	CO_IV	UK_10	antiquario	1792	1851	"Colnaghi & Co."; "P. & D. Colnaghi & Co."
CO_IV_6	John Anthony Scott	CO_IV	UK_10	antiquario		1864	"P. & D. Colnaghi & Co."
CO_IV_7	Andrew McKay	CO_IV		antiquario		1899	
CO_IV_8	William McKay	CO_IV	UK_10	antiquario	1850		"P. & D. Colnaghi & Co."
CO_IV_9	Martin Henry Colnaghi II	CO_IV	UK_11	antiquario	1821	1908	
SA_VI_NEW_1	Antonio Salvadori	SA_VI_NEW	IT_166 IT_167 IT_168 IT_169	antiquario	1866		
ST_NEW_1	Giuseppe Steffanoni	ST_NEW	IT_170 IT_171	antiquario	1841	1902	"Fratelli Steffanoni-Belle Arti-Bergamo"; "Giuseppe Steffanoni & figli, Trasponitori di pitture"
ST_NEW_2	Francesco/Franco Steffanoni	ST_NEW	IT_170 IT_171	antiquario	1870	1942	"Fratelli Steffanoni-Belle Arti-Bergamo"; "Giuseppe Steffanoni & figli, Trasponitori di pitture"
ST_NEW_3	Attilio Steffanoni	ST_NEW	IT_170 IT_171	antiquario	1881	1947	"Fratelli Steffanoni-Belle Arti-Bergamo"; "Giuseppe Steffanoni & figli, Trasponitori di pitture"
ST_NEW_4	Attilio Steffanoni	ST_NEW		antiquario	1938	2025	
ST_NEW_5	Franco Steffanoni	ST_NEW		antiquario	1907	1987	
LO_I_1	Nella Longari	LO_I	IT_172	antiquario	1906	1995	“Galleria Nella Longari”
LO_I_2	Ruggero Longari	LO_I	IT_173	antiquario	1934		“Longari Arte Milano”
LO_I_3	Mario Longari	LO_I	IT_173	antiquario	1929	2022	“Longari Arte Milano”
LO_I_4	Marco Longari	LO_I	IT_173	antiquario		in vita	“Longari Arte Milano”
SU_1	Emanuele Subert	SU	IT_174 IT_175	antiquario	1830	1888	“Emanuele Subert Antichità e Belle Arti”
SU_2	Rodoldo Subert	SU	IT_174 IT_175	antiquario	1873	1958	“Rodolfo Subert Antichità e Belle Arti”
SU_3	Rodolfo Subert	SU	IT_176 IT_177	antiquario	1898	1978	“Galleria S. Andrea”; “G.G. Subert”
SU_4	Alberto Subert	SU	IT_178 IT_179	antiquario	1929	2021	“Antichità e Oggetti d’Arte”
SU_5	Michele Subert	SU	IT_179 IT_180	antiquario		in vita	“Antichità e Oggetti d’Arte”
CA_V_1	Luigi Caretto	CA_V	IT_181	antiquario	1878	1940	“Galleria Luigi Caretto”
CA_V_2	Giorgio Caretto	CA_V	IT_181 IT_182	antiquario	1925	2008	
CA_V_3	Luigi Caretto	CA_V	IT_182 IT_183	antiquario	1957	in vita	
CO_V_1	Guido Cortinovis	CO_V	IT_184 IT_185	antiquario	1912	1988	“Antichità Cortinovis”
CO_V_2	Marzio Cortinovis	CO_V	IT_184 IT_185	antiquario	1944	in vita	
GI_I_1	Maria Antonia Gianetti	GI_I	IT_188 IT_189 IT_190	antiquario	1915	2002	“Maria Antonia Gianetti Antichità”
DI_I_1	Eugenio Di Castro	DI_I	IT_191 IT_192 IT_193	antiquario	1890	1976	
DI_I_2	Nicola Di Castro	DI_I		antiquario			
DI_I_3	Angelo Di Castro	DI_I		antiquario			
DI_I_4	Angelo Di Castro	DI_I	IT_194	antiquario	1925	2012	
AN_1	Raffaele Angiolini	AN	IT_195 IT_196	antiquario	1850 	1920 	“Angiolini e Ascoli”; “Alessandro Ranuzzi e C.”
AS_1	Alessandro Ascoli	AS	IT_195	antiquario		1897	“Alessandro Ascoli e Comp.o”; “Angiolini e Ascoli”
DA_1	Pietro D'Atri	DA	FR_10 FR_11	antiquario	1876	1957	"Galleria D'Atri"
DA_2	Alberto D'Atri	DA	FR_10 FR_11 IT_197	antiquario	1908		"Galleria D'Atri"
FO_I_1	Vittorio Forti	FO_I	IT_198	antiquario	1881	1980 	
PA_III_1	Pietro Maria Bardi	PA_III	IT_199	antiquario	1990	1999	"Studio d'Arte Palma"
MO_I_1	Aldo Modena Molena	MO_I	IT_200 IT_201 IT_202 IT_203 IT_204 IT_205	antiquario	1867		
PI_NEW_1	Cesare Pini	PI_NEW	IT_25	antiquario	1870		
PI_NEW_2	Umberto Pini	PI_NEW	IT_83 IT_85	antiquario	1902		
PI_NEW_3	Giovanni Pini	PI_NEW	IT_83 IT_85	antiquario	1895		
RA_NEW_1	Arturo Rambaldi	RA_NEW	IT_24	antiquario	1859	1929	Galleria di Antichità e Casa di vendite A. Rambaldi
RA_NEW_2	Angelo Rambaldi	RA_NEW	IT_24	antiquario	1883		“Galleria A. Rambaldi”
RA_NEW_3	Aldo Rambaldi	RA_NEW	IT_24	antiquario	1885	1964	“Galleria A. Rambaldi”
RA_NEW_4	Olga Tcherukine	RA_NEW	IT_24	antiquario	1901		“Galleria A. Rambaldi”
RI_1	Ennio Riccardi	RI	IT_207	antiquario			“Riccardi Antichità”
RI_2	Piero Riccardi	RI	IT_207	antiquario			“Riccardi Antichità”
RI_I_1	Consiglio Ricchetti	RI_I	IT_208 IT_209 IT_210	antiquario			"Galleria d'arte e di antichità"
RI_I_2	David G. Ricchetti	RI_I	IT_209 IT_210	antiquario			"Galleria d'arte e di antichità"
RI_I_3	Mazzo Ricchetti	RI_I	IT_209 IT_210	antiquario			"Galleria d'arte e di antichità"
PR_1	Giovanni Pratesi	PR	IT_211 IT_212	antiquario	1939	in vita	"Giovanni Pratesi Antiquario"
VE_I_1	Gino Sarfatti	VE_I	IT_213 IT_214 IT_215 IT_216 UK_16 USA_13	antiquario			"The Venice Art Gallery"
VE_I_2	Giuseppe Guetta	VE_I	IT_213 IT_214 IT_215 IT_216 UK_16 USA_14	antiquario			"The Venice Art Gallery"
