ID	Nome	Cognome / Denominazione	Tipologia	ID Antiquari	Nome Antiquari
C_81	William	Robertson	antiquario	LO	Loewi
C_82	Arnold	Seligman	antiquario	LO	Loewi
C_83	A.	Fauconnet	ditta di trasporti	PO_III	Pollak
C_84	Carl	Stein	ditta di trasporti	PO_III	Pollak
C_85	Gustav	Knauer	ditta di trasporti	PO_III	Pollak
C_86	Ettore e figli	Roesler Franz	ditta di trasporti	PO_III	Pollak
C_87		Tartaglia & Co. 	ditta di trasporti	PO_III	Pollak
C_88		Otto H. W. Internationale Transporte 	ditta di trasporti	PO_III	Pollak
C_89	Remo	Lizzani	ditta di deposito opere d'arte	PO_III	Pollak
C_90	Cosimo	Boccardi	fotografo	PO_III	Pollak
C_91	Oscar	Savio	fotografo	PO_III	Pollak
C_92	Antonio	Muñoz	storico dell'arte	PO_III	Pollak
C_93	Guido	Libertini	archeologo	PO_III	Pollak
C_94		Ditta Danubio società anonima	compagnia di assicurazioni	PO_III	Pollak
C_95	Gilberto	Algranti	impresario di casa d'asta	SA_VII	Salamon
C_96	Fabrizio	Agustoni	impresario di casa d'asta	SA_VII	Salamon
C_97		Ciceri	ottico	CO_IV	Colnaghi
C_98	Otto	Gutekunst	comproprietario	CO_IV	Colnaghi
C_99	Edmund F.	Deprez	comproprietario	CO_IV	Colnaghi
C_100	Gustavus	Mayer	comproprietario	CO_IV	Colnaghi
C_101	James 	Byam Shaw	comproprietario	CO_IV	Colnaghi
C_102	H.J.L.	Wright	comproprietario	CO_IV	Colnaghi
C_103	D.C.	Baskett	comproprietario	CO_IV	Colnaghi
C_104	R.M.D.	Thesiger	comproprietario	CO_IV	Colnaghi
C_105	Jorge	Coll	comproprietario	CO_IV	Colnaghi
C_106	Nicolas	Cortés	comproprietario	CO_IV	Colnaghi
C_107	Jacob	Rothschild	proprietario	CO_IV	Colnaghi
C_108	Michael 	Goedius	comproprietario	CO_IV	Colnaghi
C_109	Rudolf	Oetker	comproprietario	CO_IV	Colnaghi
C_110	Franco	Zangrilli	direttore	CO_IV	Colnaghi
C_111	Richard	Knight	direttore	CO_IV	Colnaghi
C_112	Konrad	Bernheimer	comproprietario	CO_IV	Colnaghi
C_113	Katrin	Bellinger	comproprietario	CO_IV	Colnaghi
C_114	Carlos	Picon	direttore	CO_IV	Colnaghi
C_115	Will	Elliott	antiquario	CO_IV	Colnaghi
C_116	Franz	Zatzenstein	antiquario	CO_IV	Colnaghi
C_117	Victoria	Golembiovskaya	comproprietaria	CO_IV	Colnaghi
C_118	Chloe	Stead	direttrice	CO_IV	Colnaghi
C_119	Gustavo 	Frizzoni	storico dell'arte	SA_VI_NEW	Antonio Salvadori
C_120	Giuseppe	Spoldi	antiquario	SA_VI_NEW	Antonio Salvadori
C_121	Arturo	Cividini	restauratore	ST_NEW	Steffanoni
C_122	Antonio	Zanchi	restauratore	ST_NEW	Steffanoni
C_123	Ugo	Frizzoni	storico dell’arte	ST_NEW	Steffanoni
C_124	Cesare	Laurenti	pittore	ST_NEW	Steffanoni
C_125	Luigi	Cavenaghi	restauratore	ST_NEW	Steffanoni
C_126	Luciano	Bellosi	storico dell'arte	LO_I	Longari
C_127	Carlo	Bertelli	storico dell'arte	LO_I	Longari
